Candidate No. (Need not appear on the scorecard),Round,First Name ,Last Name ,Full Name ,Registration Number,Grade ,Name of School ,Gender,Date of Birth ,City of Residence,Date and time of test,Country of Residence,Question No.,What you marked,Correct Answer,Outcome (Correct/Incorrect/Not Attempted),Score if correct,Your score,Qualification,"% of students
across the world
who attempted
this question","% of students (from
those who attempted
this ) who got it
correct","% of students
(from those who
attempted this)
who got it
incorrect","World Average
in this question
",Average score of all students across the World,Median score of all students across the World,Mode score of all students across World,First name's attempts (Attempts x 100 / Total Questions),Average attempts of all students across the Worl,First name's Accuracy ( Corrects x 100 /Attempts ),Average accuracy of all students across the World
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q21,E,E,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q22,,C,Unattempted,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,07/03/2012,Carnyville,Aug 5-6 2021,UK,Q23,C,A,Incorrect,5,0,ABC4 XYZ4 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q24,D,D,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
4,2,ABC4,XYZ4,ABC4 XYZ4,547897892226.00,5,St Paul ,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q25,C,C,Correct,5,5,ABC4 XYZ4 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q1,,C,Unattempted,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,87,80,90,92,81,76.00%,64.23%
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q2,C,D,Incorrect,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q3,E,E,Correct,2,2,ABC5 XYZ5 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q4,A,A,Correct,2,2,ABC5 XYZ5 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q5,,C,Unattempted,2,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q6,C,C,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q7,D,D,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q8,E,E,Correct,3,3,ABC5 XYZ5 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q9,,E,Unattempted,3,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q10,C,B,Incorrect,3,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q11,D,D,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q12,A,A,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q13,,B,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q14,,B,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,90.41%,78.22%,21.78%,3.54,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q15,C,B,Incorrect,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,89.64%,73.12%,26.88%,3.28,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q16,,E,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,92.23%,62.36%,37.64%,2.88,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q17,C,C,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q18,,A,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q19,D,D,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q20,,C,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q21,E,E,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,79.27%,64.71%,35.29%,2.56,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q22,,C,Unattempted,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q23,A,A,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q24,C,D,Incorrect,5,0,ABC5 XYZ5 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
5,2,ABC5,XYZ5,ABC5 XYZ5,547897892254.00,5,St Joseph,Male,01/01/2009,Oxyville,Aug 5-6 2021,UK,Q25,C,C,Correct,5,5,ABC5 XYZ5 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
